group_number,distance_from_shore_in_m,temp_depth_area_or_count,species_or_type,measurement,measurement_units,notes
1,5,temp,water,15,C,
1,5,depth,water,5,cm,
1,5,count,Anthopleura elegantissima,55,individuals,
1,5,count,Pagarus sp.,1,individuals,
1,5,count,Tegula funebralis,42,individuals,
1,5,area,bare rock,85,percent,
1,10,count,Anthopleura elegantissima,24,individuals,
1,10,area,Egregia menziesii,18,percent,
1,10,area,Endocladia muricata,8,percent,
1,10,area,bare rock,65,percent,
1,15,temp,water,14,C,
1,15,depth,water,3,cm,
1,15,count,Anthopleura elegantissima,15,individuals,
1,15,count,Lottia spp.,1,individuals,
1,15,count,Tegula funebralis,13,individuals,
1,15,area,bare rock,60,percent,
1,15,area,Corallina spp.,12,percent,
1,15,area,Egregia menziesii,32,percent,
1,15,area,Halosaccion glandiforme,1,percent,
1,15,area,water,2,percent,
1,20,count,Anthopleura elegantissima,60,individuals,
1,20,count,Tegula funebralis,8,individuals,
1,20,area,Endocladia muricata,70,percent,
1,25,count,Anthopleura elegantissima,125,individuals,
1,25,count,Tegula funebralis,17,individuals,
1,25,area,bare rock,8,percent,
1,25,area,Corallina spp.,10,percent,
1,25,area,Egregia menziesii,1,percent,
1,25,area,Endocladia muricata,16,percent,
1,30,temp,water,15,C,
1,30,depth,water,2,cm,
1,30,count,Anthopleura elegantissima,105,individuals,
1,30,count,Lottia spp.,5,individuals,
1,30,count,Tegula funebralis,26,individuals,
1,30,count,Tegula funebralis,1,individuals,
1,30,area,bare rock,75,percent,
1,30,area,Cladophora columbiana,2,percent,
1,30,area,Corallina spp.,12,percent,
1,30,area,Endocladia muricata,8,percent,
1,30,area,Mazzaella flaccida,1,percent,
1,35,count,Anthopleura elegantissima,35,individuals,
1,35,count,Pagarus sp.,2,individuals,
1,35,count,Tegula funebralis,27,individuals,
1,35,area,bare rock,30,percent,
1,35,area,Corallina spp.,10,percent,
1,35,area,Endocladia muricata,52,percent,
1,35,count,water,5,percent,
1,40,temp,water,14,C,
1,40,depth,water,4,cm,
1,40,count,Anthopleura elegantissima,10,individuals,
1,40,count,Anthopleura sola,1,individuals,
1,40,count,Tegula funebralis,18,individuals,
1,40,area,bare rock,10,percent,
1,40,area,Corallina spp.,50,percent,
1,40,area,Mazzaella flaccida,37,percent,
2,0,temp,water,16,C,
2,0,depth,water,9,cm,
2,0,count,Anthopleura elegantissima,25,individuals,
