year,state,type,acres,total_acres_all_vegetables
2002,Alabama,tomatoes,0,129
2002,Alaska,tomatoes,0,0
2002,Arizona,tomatoes,0,1645
2002,Arkansas,tomatoes,0,4975
2002,California,tomatoes,3212,38355
2002,Colorado,tomatoes,24,2075
2002,Connecticut,tomatoes,0,0
2002,Delaware,tomatoes,0,0
2002,Florida,tomatoes,0,927
2002,Georgia,tomatoes,20,422
2002,Hawaii,tomatoes,0,111
2002,Idaho,tomatoes,0,91.35
2002,Illinois,tomatoes,0,316
2002,Indiana,tomatoes,1,416
2002,Iowa,tomatoes,0,68
2002,Kansas,tomatoes,0,102
2002,Kentucky,tomatoes,0,0
2002,Louisiana,tomatoes,0,0
2002,Maine,tomatoes,0,0
2002,Maryland,tomatoes,0,500
2002,Massachusetts,tomatoes,0,0
2002,Michigan,tomatoes,5,383
2002,Minnesota,tomatoes,2,1076
2002,Mississippi,tomatoes,0,0
2002,Missouri,tomatoes,0,64
2002,Montana,tomatoes,0,22
2002,Nebraska,tomatoes,0,324
2002,Nevada,tomatoes,0,16
2002,New Hampshire,tomatoes,0,227.25
2002,New Jersey,tomatoes,0,301
2002,New Mexico,tomatoes,0,1040
2002,New York,tomatoes,0,1621
2002,North Carolina,tomatoes,45,607
2002,North Dakota,tomatoes,0,25
2002,Ohio,tomatoes,26,344
2002,Oklahoma,tomatoes,0,40
2002,Oregon,tomatoes,38,2648
2002,Pennsylvania,tomatoes,0,425
2002,Rhode Island,tomatoes,0.6,43.9
2002,South Carolina,tomatoes,0,0
2002,South Dakota,tomatoes,0,63
2002,Tennessee,tomatoes,0,64
2002,Texas,tomatoes,16,246
2002,Utah,tomatoes,0,146
2002,Vermont,tomatoes,0,746
2002,Virginia,tomatoes,0,915
2002,Washington,tomatoes,15,6802
2002,West Virginia,tomatoes,0,24
2002,Wisconsin,tomatoes,1,1541
2002,Wyoming,tomatoes,0,0
2003,Alabama,tomatoes,0,130
2003,Alaska,tomatoes,0,215
2003,Arizona,tomatoes,0,1379.5
2003,Arkansas,tomatoes,0,20
2003,California,tomatoes,3586,48446.625
2003,Colorado,tomatoes,4,1619
2003,Connecticut,tomatoes,0,0
2003,Delaware,tomatoes,0,10
2003,Florida,tomatoes,0,847
2003,Georgia,tomatoes,0,674
2003,Hawaii,tomatoes,22,141
2003,Idaho,tomatoes,0,100
2003,Illinois,tomatoes,0,295
2003,Indiana,tomatoes,5,417
2003,Iowa,tomatoes,0,362.68
2003,Kansas,tomatoes,0,101
2003,Kentucky,tomatoes,0,16
2003,Louisiana,tomatoes,0,95
2003,Maine,tomatoes,0,0
2003,Maryland,tomatoes,0,500
2003,Massachusetts,tomatoes,0,0
2003,Michigan,tomatoes,0,1269.2
2003,Minnesota,tomatoes,0,1148.96
2003,Mississippi,tomatoes,0,0
2003,Missouri,tomatoes,0,6
2003,Montana,tomatoes,0,109
2003,Nebraska,tomatoes,0,97
2003,Nevada,tomatoes,0,33.25
2003,New Hampshire,tomatoes,0,279
2003,New Jersey,tomatoes,0,199
2003,New Mexico,tomatoes,0,1040
2003,New York,tomatoes,0,1671.7
2003,North Carolina,tomatoes,42,778
2003,North Dakota,tomatoes,0,75.5
2003,Ohio,tomatoes,145.5,490
2003,Oklahoma,tomatoes,14,76
2003,Oregon,tomatoes,3.2,2782.4
2003,Pennsylvania,tomatoes,18,636
2003,Rhode Island,tomatoes,0.6,43.9
2003,South Carolina,tomatoes,0,22
2003,South Dakota,tomatoes,0,54.8
2003,Tennessee,tomatoes,0,64
2003,Texas,tomatoes,9.26,290.42
2003,Utah,tomatoes,0,107.75
2003,Vermont,tomatoes,0,818
2003,Virginia,tomatoes,0,597.5
2003,Washington,tomatoes,14,9555
2003,West Virginia,tomatoes,0,42
2003,Wisconsin,tomatoes,2,1237.43
2003,Wyoming,tomatoes,0,2
2004,Alabama,tomatoes,0,4
2004,Alaska,tomatoes,0,16
2004,Arizona,tomatoes,0,2156.008
2004,Arkansas,tomatoes,0,32
2004,California,tomatoes,3643.2,48915.86
2004,Colorado,tomatoes,18.35,1555.15
2004,Connecticut,tomatoes,7.94,145.22
2004,Delaware,tomatoes,2,6
2004,Florida,tomatoes,184,2379.5
2004,Georgia,tomatoes,0.23,495.427
2004,Hawaii,tomatoes,10.96,345.8475
2004,Idaho,tomatoes,0.25,266.38
2004,Illinois,tomatoes,2.1,119.59
2004,Indiana,tomatoes,0,89.05
2004,Iowa,tomatoes,0.25,204.7
2004,Kansas,tomatoes,0,76.3
2004,Kentucky,tomatoes,2.5,63.5
2004,Louisiana,tomatoes,0,1
2004,Maine,tomatoes,0.85,294.27
2004,Maryland,tomatoes,0.03,373.139
2004,Massachusetts,tomatoes,2.71,463.94
2004,Michigan,tomatoes,0,230.54
2004,Minnesota,tomatoes,3.5,1609.86
2004,Mississippi,tomatoes,0,0
2004,Missouri,tomatoes,0,58.5
2004,Montana,tomatoes,3,176
2004,Nebraska,tomatoes,1,67.25
2004,Nevada,tomatoes,0,14
2004,New Hampshire,tomatoes,0,178.9
