Metric,Units,State,year,value
Harvested acreage,acres,    Arkansas,1990,230
Harvested acreage,acres,    California,1990,21000
Harvested acreage,acres,    Florida,1990,5300
Harvested acreage,acres,    Louisiana,1990,750
Harvested acreage,acres,    Michigan,1990,2200
Harvested acreage,acres,    New Jersey,1990,500
Harvested acreage,acres,    New York,1990,2700
Harvested acreage,acres,    North Carolina,1990,2100
Harvested acreage,acres,    Ohio,1990,1100
Harvested acreage,acres,    Oregon,1990,5700
Harvested acreage,acres,    Pennsylvania,1990,1700
Harvested acreage,acres,    Virginia,1990,NA
Harvested acreage,acres,    Washington ,1990,1800
Harvested acreage,acres,    Wisconsin,1990,1100
Yield per acre,thousand pounds,    Arkansas,1990,2.4
Yield per acre,thousand pounds,    California,1990,47
Yield per acre,thousand pounds,    Florida,1990,22
Yield per acre,thousand pounds,    Louisiana,1990,7.8
Yield per acre,thousand pounds,    Michigan,1990,6.5
Yield per acre,thousand pounds,    New Jersey,1990,4.2
Yield per acre,thousand pounds,    New York,1990,6.3
Yield per acre,thousand pounds,    North Carolina,1990,6
Yield per acre,thousand pounds,    Ohio,1990,6.5
Yield per acre,thousand pounds,    Oregon,1990,11.5
Yield per acre,thousand pounds,    Pennsylvania,1990,4.3
Yield per acre,thousand pounds,    Virginia,1990,NA
Yield per acre,thousand pounds,    Washington ,1990,7
Yield per acre,thousand pounds,    Wisconsin,1990,5
Production,million pounds,    Arkansas,1990,0.6
Production,million pounds,    California,1990,987
Production,million pounds,    Florida,1990,116.6
Production,million pounds,    Louisiana,1990,5.9
Production,million pounds,    Michigan,1990,14.3
Production,million pounds,    New Jersey,1990,2.1
Production,million pounds,    New York,1990,17
Production,million pounds,    North Carolina,1990,12.6
Production,million pounds,    Ohio,1990,7.2
Production,million pounds,    Oregon,1990,65.6
Production,million pounds,    Pennsylvania,1990,7.3
Production,million pounds,    Virginia,1990,NA
Production,million pounds,    Washington ,1990,12.6
Production,million pounds,    Wisconsin,1990,5.5
Harvested acreage,acres,    Arkansas,1991,230
Harvested acreage,acres,    California,1991,21100
Harvested acreage,acres,    Florida,1991,5500
Harvested acreage,acres,    Louisiana,1991,850
Harvested acreage,acres,    Michigan,1991,2100
Harvested acreage,acres,    New Jersey,1991,500
Harvested acreage,acres,    New York,1991,3400
Harvested acreage,acres,    North Carolina,1991,2200
Harvested acreage,acres,    Ohio,1991,1000
Harvested acreage,acres,    Oregon,1991,5600
Harvested acreage,acres,    Pennsylvania,1991,1600
Harvested acreage,acres,    Virginia,1991,NA
Harvested acreage,acres,    Washington ,1991,1400
Harvested acreage,acres,    Wisconsin,1991,1200
Yield per acre,thousand pounds,    Arkansas,1991,3.5
Yield per acre,thousand pounds,    California,1991,52
Yield per acre,thousand pounds,    Florida,1991,24
Yield per acre,thousand pounds,    Louisiana,1991,6.5
Yield per acre,thousand pounds,    Michigan,1991,6.2
Yield per acre,thousand pounds,    New Jersey,1991,3.8
Yield per acre,thousand pounds,    New York,1991,5.6
Yield per acre,thousand pounds,    North Carolina,1991,5.5
Yield per acre,thousand pounds,    Ohio,1991,5.3
Yield per acre,thousand pounds,    Oregon,1991,11
Yield per acre,thousand pounds,    Pennsylvania,1991,3.8
Yield per acre,thousand pounds,    Virginia,1991,NA
Yield per acre,thousand pounds,    Washington ,1991,6
Yield per acre,thousand pounds,    Wisconsin,1991,5
Production,million pounds,    Arkansas,1991,0.8
Production,million pounds,    California,1991,1097.2
Production,million pounds,    Florida,1991,132
Production,million pounds,    Louisiana,1991,5.5
Production,million pounds,    Michigan,1991,13
Production,million pounds,    New Jersey,1991,1.9
Production,million pounds,    New York,1991,19
Production,million pounds,    North Carolina,1991,12.1
Production,million pounds,    Ohio,1991,5.3
Production,million pounds,    Oregon,1991,61.6
Production,million pounds,    Pennsylvania,1991,6.1
Production,million pounds,    Virginia,1991,NA
Production,million pounds,    Washington ,1991,8.4
Production,million pounds,    Wisconsin,1991,6
Harvested acreage,acres,    Arkansas,1992,230
Harvested acreage,acres,    California,1992,24000
Harvested acreage,acres,    Florida,1992,5400
Harvested acreage,acres,    Louisiana,1992,1000
Harvested acreage,acres,    Michigan,1992,2000
Harvested acreage,acres,    New Jersey,1992,500
Harvested acreage,acres,    New York,1992,2600
Harvested acreage,acres,    North Carolina,1992,2300
Harvested acreage,acres,    Ohio,1992,1200
Harvested acreage,acres,    Oregon,1992,6100
Harvested acreage,acres,    Pennsylvania,1992,1500
Harvested acreage,acres,    Virginia,1992,NA
Harvested acreage,acres,    Washington ,1992,1600
Harvested acreage,acres,    Wisconsin,1992,1100
Yield per acre,thousand pounds,    Arkansas,1992,2.4
Yield per acre,thousand pounds,    California,1992,43
Yield per acre,thousand pounds,    Florida,1992,30
Yield per acre,thousand pounds,    Louisiana,1992,12
Yield per acre,thousand pounds,    Michigan,1992,6.6
Yield per acre,thousand pounds,    New Jersey,1992,5
Yield per acre,thousand pounds,    New York,1992,3
Yield per acre,thousand pounds,    North Carolina,1992,5.5
Yield per acre,thousand pounds,    Ohio,1992,7.1
Yield per acre,thousand pounds,    Oregon,1992,10
Yield per acre,thousand pounds,    Pennsylvania,1992,3.9
Yield per acre,thousand pounds,    Virginia,1992,NA
Yield per acre,thousand pounds,    Washington ,1992,7
Yield per acre,thousand pounds,    Wisconsin,1992,4.9
Production,million pounds,    Arkansas,1992,0.6
Production,million pounds,    California,1992,1032
Production,million pounds,    Florida,1992,162
Production,million pounds,    Louisiana,1992,12
Production,million pounds,    Michigan,1992,13.2
Production,million pounds,    New Jersey,1992,2.5
Production,million pounds,    New York,1992,7.8
Production,million pounds,    North Carolina,1992,12.7
Production,million pounds,    Ohio,1992,8.5
Production,million pounds,    Oregon,1992,61
Production,million pounds,    Pennsylvania,1992,5.9
Production,million pounds,    Virginia,1992,NA
Production,million pounds,    Washington ,1992,11.2
Production,million pounds,    Wisconsin,1992,5.4
Harvested acreage,acres,    Arkansas,1993,230
Harvested acreage,acres,    California,1993,25100
Harvested acreage,acres,    Florida,1993,5800
Harvested acreage,acres,    Louisiana,1993,1100
Harvested acreage,acres,    Michigan,1993,1900
Harvested acreage,acres,    New Jersey,1993,500
Harvested acreage,acres,    New York,1993,2600
Harvested acreage,acres,    North Carolina,1993,2400
Harvested acreage,acres,    Ohio,1993,1200
Harvested acreage,acres,    Oregon,1993,6200
Harvested acreage,acres,    Pennsylvania,1993,1500
Harvested acreage,acres,    Virginia,1993,NA
Harvested acreage,acres,    Washington ,1993,1600
Harvested acreage,acres,    Wisconsin,1993,1100
Yield per acre,thousand pounds,    Arkansas,1993,3
Yield per acre,thousand pounds,    California,1993,45.5
Yield per acre,thousand pounds,    Florida,1993,28
Yield per acre,thousand pounds,    Louisiana,1993,10
Yield per acre,thousand pounds,    Michigan,1993,6
Yield per acre,thousand pounds,    New Jersey,1993,3.5
Yield per acre,thousand pounds,    New York,1993,6
Yield per acre,thousand pounds,    North Carolina,1993,4.5
Yield per acre,thousand pounds,    Ohio,1993,5.3
Yield per acre,thousand pounds,    Oregon,1993,10
Yield per acre,thousand pounds,    Pennsylvania,1993,3.6
Yield per acre,thousand pounds,    Virginia,1993,NA
Yield per acre,thousand pounds,    Washington ,1993,7
Yield per acre,thousand pounds,    Wisconsin,1993,5.2
Production,million pounds,    Arkansas,1993,0.7
Production,million pounds,    California,1993,1142.1
Production,million pounds,    Florida,1993,162.4
Production,million pounds,    Louisiana,1993,11
Production,million pounds,    Michigan,1993,11.4
Production,million pounds,    New Jersey,1993,1.8
Production,million pounds,    New York,1993,15.6
Production,million pounds,    North Carolina,1993,10.8
Production,million pounds,    Ohio,1993,6.4
Production,million pounds,    Oregon,1993,62
Production,million pounds,    Pennsylvania,1993,5.4
Production,million pounds,    Virginia,1993,NA
Production,million pounds,    Washington ,1993,11.2
Production,million pounds,    Wisconsin,1993,5.7
Harvested acreage,acres,    Arkansas,1994,180
Harvested acreage,acres,    California,1994,23300
Harvested acreage,acres,    Florida,1994,5800
Harvested acreage,acres,    Louisiana,1994,1100
Harvested acreage,acres,    Michigan,1994,1800
Harvested acreage,acres,    New Jersey,1994,450
Harvested acreage,acres,    New York,1994,2400
Harvested acreage,acres,    North Carolina,1994,2400
Harvested acreage,acres,    Ohio,1994,1200
Harvested acreage,acres,    Oregon,1994,6100
Harvested acreage,acres,    Pennsylvania,1994,1500
Harvested acreage,acres,    Virginia,1994,NA
Harvested acreage,acres,    Washington ,1994,1400
Harvested acreage,acres,    Wisconsin,1994,1200
Yield per acre,thousand pounds,    Arkansas,1994,3
Yield per acre,thousand pounds,    California,1994,57
Yield per acre,thousand pounds,    Florida,1994,29
Yield per acre,thousand pounds,    Louisiana,1994,14
Yield per acre,thousand pounds,    Michigan,1994,5.5
Yield per acre,thousand pounds,    New Jersey,1994,3.1
Yield per acre,thousand pounds,    New York,1994,4
Yield per acre,thousand pounds,    North Carolina,1994,6.5
Yield per acre,thousand pounds,    Ohio,1994,5.1
Yield per acre,thousand pounds,    Oregon,1994,11.5
Yield per acre,thousand pounds,    Pennsylvania,1994,4.2
Yield per acre,thousand pounds,    Virginia,1994,NA
Yield per acre,thousand pounds,    Washington ,1994,8
Yield per acre,thousand pounds,    Wisconsin,1994,5.1
Production,million pounds,    Arkansas,1994,0.5
Production,million pounds,    California,1994,1328.1
Production,million pounds,    Florida,1994,168.2
Production,million pounds,    Louisiana,1994,15.4
Production,million pounds,    Michigan,1994,9.9
Production,million pounds,    New Jersey,1994,1.4
Production,million pounds,    New York,1994,9.6
Production,million pounds,    North Carolina,1994,15.6
Production,million pounds,    Ohio,1994,6.1
Production,million pounds,    Oregon,1994,70.2
Production,million pounds,    Pennsylvania,1994,6.3
Production,million pounds,    Virginia,1994,NA
Production,million pounds,    Washington ,1994,11.2
Production,million pounds,    Wisconsin,1994,6.1
Harvested acreage,acres,    Arkansas,1995,180
Harvested acreage,acres,    California,1995,23600
Harvested acreage,acres,    Florida,1995,6000
Harvested acreage,acres,    Louisiana,1995,950
Harvested acreage,acres,    Michigan,1995,1700
Harvested acreage,acres,    New Jersey,1995,450
Harvested acreage,acres,    New York,1995,2200
Harvested acreage,acres,    North Carolina,1995,2400
Harvested acreage,acres,    Ohio,1995,1100
Harvested acreage,acres,    Oregon,1995,5700
Harvested acreage,acres,    Pennsylvania,1995,1400
Harvested acreage,acres,    Virginia,1995,NA
Harvested acreage,acres,    Washington ,1995,1300
Harvested acreage,acres,    Wisconsin,1995,1100
Yield per acre,thousand pounds,    Arkansas,1995,6.7
Yield per acre,thousand pounds,    California,1995,55
Yield per acre,thousand pounds,    Florida,1995,28
Yield per acre,thousand pounds,    Louisiana,1995,9.5
Yield per acre,thousand pounds,    Michigan,1995,6
Yield per acre,thousand pounds,    New Jersey,1995,3.4
Yield per acre,thousand pounds,    New York,1995,3.5
Yield per acre,thousand pounds,    North Carolina,1995,8
Yield per acre,thousand pounds,    Ohio,1995,4.5
Yield per acre,thousand pounds,    Oregon,1995,10.5
Yield per acre,thousand pounds,    Pennsylvania,1995,4.6
Yield per acre,thousand pounds,    Virginia,1995,NA
Yield per acre,thousand pounds,    Washington ,1995,8
Yield per acre,thousand pounds,    Wisconsin,1995,5
Production,million pounds,    Arkansas,1995,1.2
Production,million pounds,    California,1995,1298
Production,million pounds,    Florida,1995,168
Production,million pounds,    Louisiana,1995,9
Production,million pounds,    Michigan,1995,10.2
Production,million pounds,    New Jersey,1995,1.5
Production,million pounds,    New York,1995,7.7
Production,million pounds,    North Carolina,1995,19.2
Production,million pounds,    Ohio,1995,5
Production,million pounds,    Oregon,1995,59.9
Production,million pounds,    Pennsylvania,1995,6.4
Production,million pounds,    Virginia,1995,NA
Production,million pounds,    Washington ,1995,10.4
Production,million pounds,    Wisconsin,1995,5.5
Harvested acreage,acres,    Arkansas,1996,170
Harvested acreage,acres,    California,1996,25200
Harvested acreage,acres,    Florida,1996,6000
Harvested acreage,acres,    Louisiana,1996,750
Harvested acreage,acres,    Michigan,1996,1500
Harvested acreage,acres,    New Jersey,1996,450
Harvested acreage,acres,    New York,1996,1900
Harvested acreage,acres,    North Carolina,1996,1800
Harvested acreage,acres,    Ohio,1996,1000
Harvested acreage,acres,    Oregon,1996,5200
Harvested acreage,acres,    Pennsylvania,1996,1300
Harvested acreage,acres,    Virginia,1996,NA
Harvested acreage,acres,    Washington ,1996,1300
Harvested acreage,acres,    Wisconsin,1996,1100
Yield per acre,thousand pounds,    Arkansas,1996,2.1
Yield per acre,thousand pounds,    California,1996,54
Yield per acre,thousand pounds,    Florida,1996,26
Yield per acre,thousand pounds,    Louisiana,1996,7.5
Yield per acre,thousand pounds,    Michigan,1996,4
Yield per acre,thousand pounds,    New Jersey,1996,3.5
Yield per acre,thousand pounds,    New York,1996,3.9
Yield per acre,thousand pounds,    North Carolina,1996,9
Yield per acre,thousand pounds,    Ohio,1996,3.6
Yield per acre,thousand pounds,    Oregon,1996,9.2
Yield per acre,thousand pounds,    Pennsylvania,1996,4.3
Yield per acre,thousand pounds,    Virginia,1996,NA
Yield per acre,thousand pounds,    Washington ,1996,8.1
Yield per acre,thousand pounds,    Wisconsin,1996,4
